id	symbol	pval|float	pval_adj|float	log2FC|float	HGNC.symbol	mean1|float	cells1|int	mean2|float	cells2|int	mean_diff|float	zscore|float
Cd37	Cd37	0.00000E+00	0	8.23631916724223	CD37	1.67612216459193	41	0.00555810242747786	33	1.67056406216446	66.5724447297243
Cd79a	Cd79a	0.00000E+00	0	9.46622247099273	CD79A	2.0881711649809	23	0.00295222317416931	25	2.08521894180674	69.3373665306024
Tyrobp	Tyrobp	0.00000E+00	0	9.67840963051148	TYROBP	3.14546580523385	35	0.00383878119946573	18	3.14162702403438	117.267452751717
Pou2f2	Pou2f2	0.00000E+00	0	8.63168375271064	POU2F2	1.254557451263	32	0.00316296824332995	24	1.25139448301967	74.2712599014708
Cd22	Cd22	0.00000E+00	0	9.59906498612395	CD22	0.648406248405775	24	0.000836066265007653	7	0.647570182140767	44.3501993547466
Folr2	Folr2	0.00000E+00	0	10.4980692115722	FOLR2	0.159354169316446	6	0.000110186833206974	1	0.15924398248324	49.7542717510553
Siglech	Siglech	0.00000E+00	0	11.0505435378843	CD33	0.233708643580616	7	0.000110186833206974	1	0.233598456747409	57.7313703140855
Igsf6	Igsf6	0.00000E+00	0	11.2684927214701	IGSF6	0.271821632620482	15	0.000110186833206974	1	0.271711445787275	54.8499595263836
Lsp1	Lsp1	0.00000E+00	0	6.31466250722482	LSP1	4.07966283606587	48	0.0512532542054221	316	4.02840958186045	95.848973380336
Srgn	Srgn	0.00000E+00	0	4.33873634181434	SRGN	5.21724466504779	54	0.25784067026767	919	4.95940399478012	50.3714852134733
Arhgap9	Arhgap9	0.00000E+00	0	7.81237486615217	ARHGAP9	0.437846624994623	22	0.00194788285204142	12	0.435898742142581	38.9173064917886
Itgb2	Itgb2	0.00000E+00	0	8.12536387630781	ITGB2	1.17058709449841	29	0.00419204059217792	23	1.16639505390623	54.9907587115732
Marchf1	Marchf1	0.00000E+00	0	10.6188454661646	MARCHF1	0.346556962081486	18	0.000220385807552159	2	0.346336576273933	43.0617016669916
Msr1	Msr1	0.00000E+00	0	Inf	MSR1	0.191543881581644	11	0	0	0.191543881581644	42.2994012828407
Blk	Blk	0.00000E+00	0	Inf	BLK	0.35119409214814	13	0	0	0.35119409214814	41.5893746093398
Rnase6	Rnase6	0.00000E+00	0	8.43099206462167	RNASE6	0.304346761706222	12	0.000881834692452489	8	0.303464927013769	38.4240769849867
Pou2af1	Pou2af1	0.00000E+00	0	10.6111284996933	POU2AF1	0.517090757393302	19	0.000330596924373351	3	0.516760160468928	44.8868054960563
Il10ra	Il10ra	0.00000E+00	0	10.4973630337632	IL10RA	0.411758923235762	22	0.000284853703985851	2	0.411474069531776	52.7426663459923
Cx3cr1	Cx3cr1	0.00000E+00	0	8.24053898176048	CX3CR1	0.427943792112699	12	0.00141493769541448	8	0.426528854417284	39.6472755500468
Dock2	Dock2	0.00000E+00	0	7.58840877904255	DOCK2	0.435026827930628	23	0.00226035877901502	15	0.432766469151613	48.5697344369961
Ccl12	Ccl12	0.00000E+00	0	8.9475316862104	CCL8	0.163220323244802	5	0.000330596924373351	3	0.162889726320428	40.0021672980631
Fmnl1	Fmnl1	0.00000E+00	0	6.51762189864613	FMNL1	1.16907835709307	36	0.0127598018064699	84	1.1563185552866	46.5375933961232
Cd68	Cd68	0.00000E+00	0	4.63775388141416	NA	0.997494887805061	24	0.0400689210120601	327	0.957425966793001	38.9353210848006
Cd300a	Cd300a	0.00000E+00	0	8.48977962335892	CD300A	0.363386924057992	18	0.00101085990890672	8	0.362376064149086	53.3553007110166
Cd300ld	Cd300ld	0.00000E+00	0	8.54200181077561	CD300LF	0.33567430430644	14	0.000900573844319769	7	0.33477373046212	41.0100115512817
Cd300c2	Cd300c2	0.00000E+00	0	10.0563172005401	CD300C	0.234658746579186	14	0.000220385807552159	2	0.234438360771634	42.0983184477504
Myo1g	Myo1g	0.00000E+00	0	9.42857707684577	MYO1G	0.683672558993463	27	0.000992118692231636	8	0.682680440301231	63.361280446662
Plek	Plek	0.00000E+00	0	8.08807465462724	PLEK	1.2179264959123	32	0.00447577246743828	26	1.21345072344487	67.3513010899051
Ccl9	Ccl9	0.00000E+00	0	9.65343137589947	CCL23	0.443780094353512	14	0.000551055590795662	4	0.443229038762716	39.3757601938761
Ccl6	Ccl6	0.00000E+00	0	10.2742862452807	CCL23	1.25187024331128	20	0.00101085990890672	7	1.25085938340238	52.1372021760643
Cd180	Cd180	0.00000E+00	0	10.0757132936126	CD180	0.237834882947634	12	0.000220385807552159	2	0.237614497140082	40.2787366181738
Syk	Syk	0.00000E+00	0	7.95128926944447	SYK	1.33571209261174	46	0.00539679949849636	39	1.33031529311324	79.7085019185057
Ly86	Ly86	0.00000E+00	0	8.81779484624888	LY86	1.19109828889927	35	0.00263953154379457	20	1.18845875735547	84.0692772079366
Tifab	Tifab	0.00000E+00	0	10.9750331687023	TIFAB	0.221790984509941	14	0.000110186833206974	1	0.221680797676734	39.7395835009467
Ighd	Ighd	0.00000E+00	0	11.1234883777216	NA	1.12734001844453	23	0.000505302289251597	4	1.12683471615528	56.1974719071714
Ighm	Ighm	0.00000E+00	0	9.70678419167042	IGHM	2.55082732522904	32	0.00305244507086708	23	2.54777488015818	82.2801578939853
Pik3cg	Pik3cg	0.00000E+00	0	7.37474351087844	PIK3CG	0.367536138734399	19	0.00221452731427902	16	0.36532161142012	42.0704034919359
Pld4	Pld4	0.00000E+00	0	11.1044605232073	PLD4	0.485243052933169	21	0.000220385807552159	2	0.485022667125617	61.5162142648472
Nckap1l	Nckap1l	0.00000E+00	0	7.98072481018684	NA	0.436273833756851	26	0.00172711641254395	12	0.434546717344307	51.3843591845422
Fyb	Fyb	0.00000E+00	0	5.89183635973095	FYB1	1.16049963468379	25	0.0195445436414879	139	1.1409550910423	45.3195412225917
Nfam1	Nfam1	0.00000E+00	0	11.5188767580232	NFAM1	0.646712185084551	27	0.000220385807552159	2	0.646491799276999	56.5987558481243
Sla	Sla	0.00000E+00	0	8.208737442951	SLA	0.383426143259145	19	0.00129600156008183	10	0.382130141699063	48.5954047366566
Ly6d	Ly6d	0.00000E+00	0	5.64670656738107	LY6D	0.781117464950085	21	0.0155915142070101	133	0.765525950743075	37.8075125488905
Bin2	Bin2	0.00000E+00	0	7.14946938627101	BIN2	0.532235197441982	22	0.00374885681624654	21	0.528486340625735	38.8820474140241
Csf2rb	Csf2rb	0.00000E+00	0	7.72578805975834	CSF2RB	0.819708390359821	23	0.00387226824154145	32	0.815836122118279	44.6404750366101
Rac2	Rac2	0.00000E+00	0	7.76445771696364	RAC2	2.02409398840745	46	0.00930884935427509	45	2.01478513905318	76.5002383852196
Cyth4	Cyth4	0.00000E+00	0	7.10216702247552	CYTH4	0.62236298682389	24	0.00452979396051497	30	0.617833192863375	50.1171420730148
Iglc3	Iglc3	0.00000E+00	0	Inf	IGLC2	0.60242498566738	21	0	0	0.60242498566738	58.703692444233
Iglc2	Iglc2	0.00000E+00	0	Inf	IGLC2	0.709722486385689	18	0	0	0.709722486385689	38.2594424080304
Cd86	Cd86	0.00000E+00	0	11.2335229538135	CD86	0.265312106383566	13	0.000110186833206974	1	0.265201919550359	50.7659953525256
Ebi3	Ebi3	0.00000E+00	0	7.32360536816919	EBI3	0.176591560581734	9	0.00110241484385547	10	0.175489145737879	40.4109753548771
H2-DMb2	H2-DMb2	0.00000E+00	0	5.49504679209392	HLA-DMB	0.846904240968694	24	0.0187784782579373	148	0.828125762710757	37.5414991286711
H2-Ob	H2-Ob	0.00000E+00	0	8.2053697830369	HLA-DOB	0.740947493877303	21	0.00251029639983742	20	0.738437197477466	40.9602761264178
Gpsm3	Gpsm3	0.00000E+00	0	5.46594964627473	GPSM3	0.509834170990587	24	0.0115349081806114	83	0.498299262809975	37.6682912179183
Adgre1	Adgre1	0.00000E+00	0	11.9079333717254	ADGRE1	0.423423378220911	15	0.000110186833206974	1	0.423313191387704	65.0924023782236
Aif1	Aif1	0.00000E+00	0	9.75106036920714	AIF1	0.284879021898057	12	0.000330596924373351	3	0.284548424973683	47.2503834839564
Myo1f	Myo1f	0.00000E+00	0	9.34706487392332	MYO1F	0.430672841072922	20	0.000661303143073106	5	0.430011537929849	51.4911194688759
Blnk	Blnk	0.00000E+00	0	8.03303680579891	BLNK	0.404346646602259	19	0.00154372099557938	14	0.40280292560668	58.1057224893758
Ms4a1	Ms4a1	0.00000E+00	0	12.0224238812601	MS4A1	0.916840590392543	20	0.000220385807552159	2	0.916620204584991	51.2834570677617
Ms4a7	Ms4a7	0.00000E+00	0	9.83862144978587	MS4A7	0.302704572524964	11	0.000330596924373351	3	0.302373975600591	51.3679094237073
Ms4a6c	Ms4a6c	0.00000E+00	0	9.1144671566179	MS4A6A	0.4830907298953	15	0.000871566833271481	6	0.482219163062028	55.7347128083413
Ms4a6d	Ms4a6d	0.00000E+00	0	9.71984864021691	MS4A6A	0.185844459126405	10	0.000220385807552159	2	0.185624073318852	39.1122660345989
Mpeg1	Mpeg1	0.00000E+00	0	5.27469902087613	MPEG1	1.09290881171585	24	0.0282319778194348	234	1.06467683389642	40.1745263345836
Fermt3	Fermt3	0.00000E+00	0	7.00730376083068	FERMT3	0.539468200134265	22	0.00419331250087403	28	0.535274887633391	40.2600682810625
Ptpn6	Ptpn6	5.98102E-306	1.4134839949752e-304	4.55805291067972	PTPN6	1.14461651615483	35	0.0485902753701581	403	1.09602624078467	37.3886232670399
Lcp2	Lcp2	9.72839E-306	2.28126860689592e-304	6.71686949868227	LCP2	0.354204554646508	18	0.00336724677261594	27	0.350837307873892	37.3756194866947
Rasgrp4	Rasgrp4	1.90384E-305	4.43008125119985e-304	7.5549455381543	RASGRP4	0.309483153963846	18	0.00164578004241955	11	0.307837373921427	37.3576642085973
Csf1r	Csf1r	3.18329E-305	7.3507191882934e-304	5.88686915697421	CSF1R	0.728541984269167	18	0.0123120504802107	83	0.716229933788956	37.34391147523
Fcgr1	Fcgr1	3.84163E-302	8.8037328651702e-301	10.2877346850114	FCGR1B	0.137735671019061	9	0.000110186833206974	1	0.137625484185854	37.153552394048
Irf8	Irf8	9.68732E-300	2.20331812916789e-298	5.42926522748226	IRF8	1.04394724114706	32	0.0242274029762726	164	1.01971983817078	37.0045172969335
Wdfy4	Wdfy4	8.70645E-299	1.96544937499483e-297	9.35291884892541	WDFY4	0.28825084761742	16	0.000440820185008489	4	0.287810027432412	36.9451734498719
Slamf7	Slamf7	1.36357E-296	3.05540815273096e-295	9.65647747640036	SLAMF7	0.177857832809166	9	0.000220385807552159	2	0.177637447001614	36.8082281926356
Mcemp1	Mcemp1	4.67118E-293	1.03899310383884e-291	10.5955140332149	MCEMP1	0.340997477836765	13	0.000220385807552159	2	0.340777092029213	36.586604168222
Alox5	Alox5	1.65556E-289	3.65551933310428e-288	9.38156787936379	ALOX5	0.263517526774602	13	0.000395071924320394	3	0.263122454850281	36.3626969406417
Pirb	Pirb	1.12483E-288	2.46566916518851e-287	9.23799116137468	LILRB4	0.199623308026589	13	0.000330596924373351	3	0.199292711102216	36.3100049410739
BC035044	BC035044	1.57684E-288	3.431617839664e-287	Inf	NA	0.0811610613176982	5	0	0	0.0811610613176982	36.3007078792926
Spib	Spib	3.48794E-288	7.53643990456022e-287	7.64377829715965	SPIB	0.469878389316137	16	0.00234951879613492	16	0.467528870520002	36.2788481390583
Milr1	Milr1	2.28642E-285	4.90527011973932e-284	8.49452876885218	MILR1	0.182246511624779	12	0.000505302289251597	4	0.181741209335527	36.0997761442529
Ikzf1	Ikzf1	7.99633E-285	1.70344355371702e-283	5.78411666300656	IKZF1	0.589921595611699	27	0.0107053699737741	81	0.579216225637925	36.0651045843511
Nlrc4	Nlrc4	1.22207E-281	2.5851524942493e-280	8.82296032235299	NLRC4	0.149718172198048	9	0.000330596924373351	3	0.149387575273674	35.8613896727979
1600010M07Rik	1600010M07Rik	2.23836E-281	4.70210834152555e-280	Inf	NA	0.168909240509612	10	0	0	0.168909240509612	35.844522850356
Pik3r5	Pik3r5	2.79675E-281	5.83460711139119e-280	7.86110987898245	PIK3R5	0.279574517392489	16	0.0012024518949593	8	0.27837206549753	35.8383137374758
Tnfaip8l2	Tnfaip8l2	1.10519E-280	2.28985818449541e-279	7.50419205760695	TNFAIP8L2	0.111749752379501	8	0.000615544800117635	5	0.111134207579383	35.799980261919
Cr2	Cr2	6.85108E-274	1.40983153398801e-272	9.39695026883903	CR2	0.222875693525694	10	0.000330596924373351	3	0.222545096601321	35.3607612073265
Lst1	Lst1	8.10024E-274	1.65562382208342e-272	6.28483803627322	LST1	0.359531749468101	17	0.00461118430787006	40	0.354920565160231	35.3560281391606
Havcr2	Havcr2	8.96367E-271	1.81980596554395e-269	9.95229012638837	HAVCR2	0.173021687118778	10	0.000174647626909941	1	0.172847039491868	35.1573874647738
F13a1	F13a1	8.33803E-270	1.68150242196149e-268	9.19662192184949	F13A1	0.269645295940442	8	0.000459551079919209	2	0.269185744860523	35.0939458596622
I830077J02Rik	I830077J02Rik	1.27787E-264	2.55997946539935e-263	9.39323806180127	C1orf162	0.191543881581644	12	0.000284853703985851	2	0.191259027877658	34.7523352405045
Evi2a	Evi2a	1.25679E-263	2.50117387389957e-262	7.58585967950427	EVI2A	0.224191777696439	14	0.00116693959031679	10	0.223024838106122	34.6865491879169
Vav1	Vav1	1.51295E-259	2.9912927824707e-258	7.80799212687791	VAV1	0.255007774712292	14	0.00113792485974636	8	0.253869849852545	34.4148327098378
Treml4	Treml4	2.81411E-258	5.52771264066213e-257	Inf	TREML4	0.124667662257952	7	0	0	0.124667662257952	34.3298603247341
Fcgr4	Fcgr4	6.69536E-258	1.30667417262232e-256	Inf	FCGR3B	0.161740621836809	9	0	0	0.161740621836809	34.3046241920119
Cd72	Cd72	2.65332E-254	5.14505241413309e-253	8.42321091846158	CD72	0.324854389850217	12	0.000946345221708719	8	0.323908044628508	34.0624707188455
Dock10	Dock10	2.29002E-252	4.4122918919605e-251	5.37221600969024	DOCK10	0.591632702190878	26	0.0142841370790333	95	0.577348565111845	33.9314569126371
Hvcn1	Hvcn1	5.23938E-252	1.00310878625229e-250	7.00998037814658	HVCN1	0.323548481630681	14	0.00251029639983742	20	0.321038185230844	33.9070776558493
Pim1	Pim1	1.24360E-251	2.36597569856063e-250	3.4942581534873	PIM1	3.69455011300108	42	0.327857441101193	1835	3.36669267189988	33.8815971388736
Hcls1	Hcls1	1.70395E-251	3.2215359685552e-250	5.56250234742662	HCLS1	0.383426143259145	21	0.00811337713219785	70	0.375312766126947	33.8723087099998
Prkcb	Prkcb	1.14751E-250	2.15603797309496e-249	6.94742004599854	PRKCB	0.206459101834383	12	0.00167283153681479	13	0.204786270297569	33.8160044877933
Wfdc17	Wfdc17	3.01980E-246	5.63882145218833e-245	9.919050844316	NA	0.320059440390347	12	0.000330596924373351	3	0.319728843465973	33.5139404292448
Ncf4	Ncf4	7.35926E-242	1.36575215920827e-240	8.95440155766942	NCF4	0.195983554388759	12	0.000395071924320394	3	0.195588482464438	33.2114450966981
Cxcr5	Cxcr5	3.76929E-240	6.95250639718148e-239	9.12977998413332	CXCR5	0.123458572853323	6	0.000220385807552159	2	0.123238187045771	33.0928244807927
Slc11a1	Slc11a1	1.39583E-238	2.55901976953603e-237	6.30428729704775	SLC11A1	0.238416200975487	11	0.00301686714760655	24	0.23539933382788	32.9836033400616
Rgs1	Rgs1	3.66434E-238	6.67748735612201e-237	8.49552124308009	RGS1	0.467748331805385	14	0.00129600156008183	10	0.466452330245303	32.9543554132946
Sirpb1c	Sirpb1c	4.02930E-238	7.29857999404965e-237	11.142005941634	SIRPG	0.24900479017831	13	0.000110186833206974	1	0.248894603345103	32.9514768557324
Aoah	Aoah	2.64508E-237	4.76270968171936e-236	9.38907795512961	AOAH	0.0738794744965613	5	0.000110186833206974	1	0.0737692876633543	32.8943749748614
Cotl1	Cotl1	1.60753E-236	2.87738849544116e-235	4.71505794195054	COTL1	0.592179768383247	25	0.0225465290782009	189	0.569633239305047	32.8395198579911
Ms4a4c	Ms4a4c	1.98290E-235	3.52840123012738e-234	7.37069096220729	MS4A4E	0.196231198851315	10	0.00118568408010089	9	0.195045514771215	32.7629948070571
Il1rn	Il1rn	5.02018E-233	8.88072776415095e-232	11.5026098818251	IL1RN	0.319713006402279	10	0.000110186833206974	1	0.319602819569072	32.5938033447739
Samsn1	Samsn1	6.91070E-232	1.21539906470628e-230	6.77500179888319	SAMSN1	0.422254965310556	15	0.00385563579046356	22	0.418399329520093	32.5133291307859
Fcmr	Fcmr	3.73097E-231	6.52380833595973e-230	11.8088353749343	FCMR	0.395315063291298	13	0.000110186833206974	1	0.395204876458091	32.4614754974559
Cd300lf	Cd300lf	3.72111E-230	6.46916619943115e-229	9.14176749482696	CD300LF	0.24900479017831	13	0.000440820185008489	4	0.248563969993301	32.3906140480439
Clec4d	Clec4d	3.83093E-230	6.62203359845068e-229	Inf	CLEC4D	0.304994142614188	11	0	0	0.304994142614188	32.3897169141894
Cd300e	Cd300e	6.13182E-229	1.05390605216925e-227	9.5246920815256	CD300E	0.0811610613176982	5	0.000110186833206974	1	0.0810508744844913	32.3040726389406
Siglece	Siglece	2.52279E-227	4.31154698785466e-226	7.67814674552841	SIGLEC8	0.252217831473681	13	0.00123146849563622	10	0.250986362978045	32.1889134524914
Clec4e	Clec4e	6.51370E-227	1.10696221224802e-225	Inf	CLEC4E	0.268225372194015	10	0	0	0.268225372194015	32.1594604006919
Parvg	Parvg	1.06041E-226	1.79203095731352e-225	7.27618235063368	PARVG	0.323548481630681	16	0.00208732572049082	16	0.321461155910191	32.1443178296733
Pla2g2d	Pla2g2d	4.48975E-220	7.54526974011189e-219	9.06212525786155	PLA2G2D	0.176713747129942	5	0.000330596924373351	3	0.176383150205569	31.6665399854138
Il1b	Il1b	4.41603E-219	7.38038600472547e-218	10.3835721022894	IL1B	0.588881807076481	10	0.000440820185008489	4	0.588440986891472	31.5943388934777
Irf5	Irf5	8.09635E-217	1.34568510596467e-215	7.68255955006637	IRF5	0.262396767845375	17	0.00127725500490176	11	0.261119512840473	31.4291271014508
Tlr8	Tlr8	3.03880E-216	5.02315479676067e-215	Inf	TLR8	0.0989802173509973	7	0	0	0.0989802173509973	31.387058400187
C3ar1	C3ar1	6.14954E-216	1.01099824497001e-214	Inf	C3AR1	0.209562695147918	10	0	0	0.209562695147918	31.3646143503031
Atp1a3	Atp1a3	2.42346E-213	3.96268477189432e-212	Inf	ATP1A3	0.265406045594226	11	0	0	0.265406045594226	31.1736759697337
Ifitm6	Ifitm6	3.36464E-213	5.47206663398313e-212	10.8988706097305	NA	0.210385921192459	8	0.000110186833206974	1	0.210275734359252	31.1631592756275
Map4k1	Map4k1	1.42683E-212	2.30811011450864e-211	8.51415027939584	MAP4K1	0.282088853986815	14	0.000771562843179205	7	0.281317291143636	31.116812611903
